Team code,Unprotected File List,What is the theme of your experiment?
spacetravelers,space travelers.zip (1 Kb.): https://www.tfaforms.com/uploads/get/5afaa996cd8711923b5abb17633d0057-spacetravelers.zip/212937/d8220032753bb59193d4177d2beefa44,Life on Earth
rgbplanetspis,RGBPlanetSPIs.zip (3 Kb.): https://www.tfaforms.com/uploads/get/0c3feed39726ceabff6d3b2571dfb29b-RGBPlanetSPIs.zip/212937/d82bda1606804b25f77a9fa93ad20960,Life on Earth
compostella,compostella.zip (1 Kb.): https://www.tfaforms.com/uploads/get/ab227a9ce77c567eca3579c25d4c9c4e-compostella.zip/212937/043db0f09b3338d4e3f80ee8cc6d278a,Life in Space
isaac,isaac project.zip (1 Kb.): https://www.tfaforms.com/uploads/get/bbc190e3c249bda06f5dc912275233d4-isaacproject.zip/212937/7ec4012a1bab9e364c2ee928691a1d2c,Life in Space
gramscikeynes,Gramsci-Keynes.zip (337 Kb.): https://www.tfaforms.com/uploads/get/2c995a1c9286ff71b1a6dd5137b77093-Gramsci-Keynes.zip/212937/efffd6dd5daa3145b11638f9f4184410,Life in Space
camuscom,main.zip (2 Kb.): https://www.tfaforms.com/uploads/get/3d4a947365eabc790c9208e3a4bab0fb-main.zip/212937/ed2dcc8ae97cd2c68564fc766b1cd1c6,Life on Earth
astrocats,FinalCodeAstroCats.zip (1 Kb.): https://www.tfaforms.com/uploads/get/3ff6e0638011c54bc6254ddb590d24df-FinalCodeAstroCats.zip/212937/f8615a9e308d6b24f652015da86ed29e,Life on Earth
beepi,BitBEE.zip (1 Kb.): https://www.tfaforms.com/uploads/get/c0ee19cba9606e6e79b15ca7650a012f-BitBEE.zip/212937/218d765153c91cdb0cebd6771fa7c018,Life in Space
bhteamjs,main.py.zip (1 Kb.): https://www.tfaforms.com/uploads/get/b02bbef46b36af5d8fbadc19024a8b15-main.py.zip/212937/4fa12ce35b6335c70e48191023199cf0,Life on Earth
vianucoders,vianucoders.zip (1 Kb.): https://www.tfaforms.com/uploads/get/793b3deb46b4f00eae8ecad7d282d3b1-vianucoders.zip/212937/fae105ace73f0f3c8e63def1bebca36e,Life on Earth
bhteamjl,main.py.zip (1 Kb.): https://www.tfaforms.com/uploads/get/73c0d10db6371e7eb1b755b4b47ab8e1-main.py.zip/212937/f132364f034dcb4f0d527944a287b199,Life on Earth
pithon,PiThon.zip (9 Kb.): https://www.tfaforms.com/uploads/get/ed1e90c3538acaab8ffedb039ebc71dd-PiThon.zip/212937/f9a4bc62a55a830970da6b409b767dea,Life in Space
bloomers,bloomers.zip (1 Kb.): https://www.tfaforms.com/uploads/get/e23464efcba5bd35290c45fc2578b4f7-bloomers.zip/212937/8233852c9031b162c1314c4008468520,Life on Earth
pmtorcas,main.zip (3 Kb.): https://www.tfaforms.com/uploads/get/313a64da646426173fd252f497af9d48-main.zip/212937/d82d2d3e88ced1cc87cb0f87071d95f1,Life on Earth
